listing_id,name,host_id,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood,district,city,latitude,longitude,property_type,room_type,accommodates,bedrooms,amenities,price,minimum_nights,maximum_nights,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable
13684094,Wanchai / Central - 1 bedroom - Ideal Location,938328,2011-08-08,Hong Kong,NA,NA,0,FALSE,1,TRUE,TRUE,Wan Chai,NA,Hong Kong,22.27668,114.16859,Entire apartment,Entire place,4,1,"[""Shampoo"", ""Dryer"", ""Fire extinguisher"", ""Long term stays allowed"", ""Heating"", ""Washer"", ""Iron"", ""TV"", ""Air conditioning"", ""Wifi"", ""Kitchen"", ""Hangers"", ""Smoke alarm"", ""Essentials"", ""Elevator""]",910,6,1125,100,10,10,10,10,10,10,FALSE
17400000,"Bright, Airy flat in Trendy, Central Sheung Wan.",67868446,2016-04-19,"Melbourne, Victoria, Australia",NA,NA,0,FALSE,1,TRUE,TRUE,Central & Western,NA,Hong Kong,22.28537,114.15172,Entire apartment,Entire place,5,1,"[""Hair dryer"", ""Dryer"", ""Hot water"", ""Air conditioning"", ""Wifi"", ""Hangers"", ""Refrigerator"", ""Hot water kettle"", ""Kitchen"", ""Smoke alarm"", ""Essentials"", ""Microwave"", ""Dedicated workspace"", ""Heating"", ""Iron"", ""Cooking basics"", ""Oven"", ""Stove"", ""Extra pillows and blankets"", ""Bed linens"", ""Long term stays allowed"", ""Washer"", ""Carbon monoxide alarm"", ""TV"", ""Dishes and silverware""]",625,7,1125,95,10,10,10,10,10,10,FALSE
17551833,Stunning & bright Apt-Huge Terrace-SHEUNG WAN/SOHO,22938205,2014-10-25,Hong Kong,NA,NA,0,FALSE,1,TRUE,TRUE,Central & Western,NA,Hong Kong,22.28466,114.14983,Entire apartment,Entire place,2,1,"[""Hair dryer"", ""TV"", ""Dedicated workspace"", ""Air conditioning"", ""Wifi"", ""Dishes and silverware"", ""Hangers"", ""Kitchen"", ""Long term stays allowed"", ""Lockbox"", ""Essentials"", ""Refrigerator"", ""Elevator"", ""Heating"", ""Washer"", ""Cable TV"", ""Dryer"", ""Shampoo""]",598,30,1125,98,10,10,10,10,10,10,FALSE
29995960,Bright 1-bedroom apartment in the heart of WanChai,83271887,2016-07-12,Hong Kong,NA,NA,0,FALSE,1,TRUE,TRUE,Wan Chai,NA,Hong Kong,22.27799,114.17143,Entire apartment,Entire place,4,1,"[""Shampoo"", ""Long term stays allowed"", ""Dedicated workspace"", ""Washer"", ""Iron"", ""TV"", ""Air conditioning"", ""Wifi"", ""Hangers"", ""Kitchen"", ""Essentials"", ""Elevator""]",900,4,1125,87,10,9,9,9,9,8,FALSE
30308424,Cosy and lovely one bedroom apartment in wanchai,4011853,2012-10-30,Hong Kong,NA,NA,0,FALSE,1,TRUE,FALSE,Wan Chai,NA,Hong Kong,22.2758,114.16964,Entire apartment,Entire place,3,1,"[""Hair dryer"", ""TV"", ""Shampoo"", ""Extra pillows and blankets"", ""Air conditioning"", ""Wifi"", ""Dishes and silverware"", ""Hangers"", ""Kitchen"", ""Long term stays allowed"", ""Essentials"", ""Bed linens"", ""Refrigerator"", ""Elevator"", ""Washer"", ""Hot water"", ""Iron""]",700,3,1125,96,10,10,10,10,10,9,FALSE
32900779,"Spacious and modern 1 bedroom apt,  3 min from MTR",33152938,2015-05-11,Hong Kong,NA,NA,0,FALSE,1,TRUE,TRUE,Central & Western,NA,Hong Kong,22.28312,114.14565,Entire apartment,Entire place,1,1,"[""Shampoo"", ""Dryer"", ""Long term stays allowed"", ""Dedicated workspace"", ""Private entrance"", ""Heating"", ""Washer"", ""Iron"", ""TV"", ""Air conditioning"", ""Wifi"", ""Hangers"", ""Kitchen"", ""Essentials"", ""Elevator""]",890,3,1125,100,10,10,10,10,10,10,FALSE
19350157,Light and airy centrally located apartment,10986123,2014-01-03,Hong Kong,NA,NA,0,FALSE,1,TRUE,TRUE,Sham Shui Po,NA,Hong Kong,22.32234,114.15813,Entire apartment,Entire place,4,2,"[""Hot water"", ""Air conditioning"", ""Wifi"", ""Hangers"", ""Building staff"", ""Shampoo"", ""Patio or balcony"", ""Refrigerator"", ""Kitchen"", ""Smoke alarm"", ""Paid parking off premises"", ""Essentials"", ""Elevator"", ""Gym"", ""Pool"", ""Microwave"", ""Dedicated workspace"", ""Paid parking on premises"", ""Iron"", ""Cooking basics"", ""Oven"", ""Stove"", ""Coffee maker"", ""Long term stays allowed"", ""Washer"", ""TV"", ""Cable TV"", ""Dishes and silverware""]",1200,2,1125,100,9,9,10,10,10,9,FALSE
26269817,2å®¤2åŽ…æ¸©é¦¨çš„å®¶é€‚åˆå®¶åº­å‡ºæ¸¸,133710041,2017-06-06,CN,NA,NA,0,FALSE,1,TRUE,TRUE,Kowloon City,NA,Hong Kong,22.326,114.19193,Entire apartment,Entire place,5,2,"[""Hair dryer"", ""Hot water"", ""Air conditioning"", ""Wifi"", ""Hangers"", ""Children\u2019s books and toys"", ""Luggage dropoff allowed"", ""Shampoo"", ""Patio or balcony"", ""Refrigerator"", ""Kitchen"", ""Essentials"", ""Elevator"", ""Dedicated workspace"", ""Cooking basics"", ""Stove"", ""Extra pillows and blankets"", ""Bed linens"", ""Coffee maker"", ""Long term stays allowed"", ""Washer"", ""TV"", ""Cable TV"", ""Dishes and silverware""]",1500,3,1125,88,9,8,10,10,10,9,FALSE
11246705,â¤â¤ Peaceful Apartment â¤â¤ Tsim Sha Tsui,58669204,2016-02-14,Hong Kong,NA,NA,0,FALSE,1,TRUE,FALSE,Yau Tsim Mong,NA,Hong Kong,22.29659,114.1722,Entire apartment,Entire place,2,NA,"[""Dryer"", ""Hair dryer"", ""Hot water"", ""Air conditioning"", ""Wifi"", ""Hangers"", ""Single level home"", ""Shampoo"", ""Refrigerator"", ""Essentials"", ""Elevator"", ""Indoor fireplace"", ""Microwave"", ""Dedicated workspace"", ""Iron"", ""Lockbox"", ""Extra pillows and blankets"", ""Bed linens"", ""Long term stays allowed"", ""Hot tub"", ""Washer"", ""TV""]",729,7,1125,91,9,9,9,10,10,9,FALSE
23529931,Superb Apartment in Tsim Sha Tsui,66563505,2016-04-10,Hong Kong,NA,NA,0,FALSE,1,TRUE,FALSE,Yau Tsim Mong,NA,Hong Kong,22.29828,114.17531,Entire apartment,Entire place,2,NA,"[""Hair dryer"", ""Dryer"", ""Hot water"", ""Air conditioning"", ""Wifi"", ""Hangers"", ""Single level home"", ""Shampoo"", ""Refrigerator"", ""Essentials"", ""Elevator"", ""Indoor fireplace"", ""Microwave"", ""Dedicated workspace"", ""Iron"", ""Lockbox"", ""Extra pillows and blankets"", ""Bed linens"", ""Long term stays allowed"", ""Washer"", ""TV""]",657,7,1125,93,9,9,9,10,10,9,FALSE
23313149,â¤â¤ Elegant Budget Studio â¤â¤ by Maelys,118967674,2017-03-03,Hong Kong,NA,NA,1,FALSE,1,TRUE,FALSE,Yau Tsim Mong,NA,Hong Kong,22.30499,114.17308,Entire apartment,Entire place,2,NA,"[""Lockbox"", ""Indoor fireplace"", ""Shampoo"", ""Extra pillows and blankets"", ""Bed linens"", ""Hair dryer"", ""Microwave"", ""Long term stays allowed"", ""Dedicated workspace"", ""Hot water"", ""Refrigerator"", ""Iron"", ""TV"", ""Air conditioning"", ""Wifi"", ""Hangers"", ""Single level home"", ""Essentials"", ""Elevator""]",693,8,1125,91,9,8,9,9,10,9,TRUE
23313413,â€¢â€¢â¤â€¢â¤ Lovely Studio â¤â€¢â¤â€¢â€¢ Tsim Sha Tsui,60182400,2016-02-24,Hong Kong,NA,NA,1,FALSE,1,TRUE,FALSE,Yau Tsim Mong,NA,Hong Kong,22.30139,114.17617,Entire apartment,Entire place,2,NA,"[""Pocket wifi"", ""Hair dryer"", ""Dryer"", ""Hot water"", ""Air conditioning"", ""Wifi"", ""Hangers"", ""Single level home"", ""Shampoo"", ""Refrigerator"", ""Essentials"", ""Elevator"", ""Indoor fireplace"", ""Dedicated workspace"", ""Iron"", ""Private entrance"", ""Lockbox"", ""Extra pillows and blankets"", ""Bed linens"", ""Long term stays allowed"", ""Washer"", ""TV""]",693,7,1125,93,10,9,9,9,9,9,TRUE
36427498,1Studio 2min walk Fortress Hill MTR 2åˆ†é˜å¾’æ­¥ç‚®å°å±±åœ°éµ,273794338,2019-07-05,"New Territories, Hong Kong",NA,NA,1,FALSE,1,TRUE,TRUE,Eastern,NA,Hong Kong,22.28969,114.19551,Entire apartment,Entire place,1,NA,"[""Shampoo"", ""Hair dryer"", ""Fire extinguisher"", ""Long term stays allowed"", ""Private entrance"", ""Hot water"", ""Heating"", ""TV"", ""Air conditioning"", ""Wifi"", ""Hangers"", ""Essentials"", ""Elevator""]",380,1,1125,53,7,6,5,6,9,7,FALSE
43082920,ç¦ç”°å£å²¸ ä¼šå±•ä¸­å¿ƒ C bdå•†åœˆ é¼“æµªæ¹¾å…¬å¯“æ¸…æ–°å¤§åºŠæˆ¿,342924276,2020-04-01,CN,NA,NA,1,FALSE,1,TRUE,TRUE,Yuen Long,NA,Hong Kong,22.51036,114.061,Entire apartment,Entire place,1,1,"[""Shampoo"", ""Hair dryer"", ""Long term stays allowed"", ""Private entrance"", ""Hot water"", ""Washer"", ""Carbon monoxide alarm"", ""TV"", ""Air conditioning"", ""Wifi"", ""Hangers"", ""Smoke alarm"", ""Kitchen"", ""Essentials"", ""Elevator""]",535,1,1125,20,2,2,2,2,2,2,TRUE
43137742,åº¦å‡é¦–é€‰åŸŽæ™¯å¤§åºŠæˆ¿,342924276,2020-04-01,CN,NA,NA,1,FALSE,1,TRUE,TRUE,Yuen Long,NA,Hong Kong,22.51037,114.06161,Entire apartment,Entire place,1,1,"[""Shampoo"", ""Hair dryer"", ""Long term stays allowed"", ""Private entrance"", ""Hot water"", ""Washer"", ""Carbon monoxide alarm"", ""TV"", ""Air conditioning"", ""Wifi"", ""Hangers"", ""Smoke alarm"", ""Kitchen"", ""Essentials"", ""Elevator""]",510,1,1125,NA,NA,NA,NA,NA,NA,NA,TRUE
23309874,â˜…â˜… Colorful Budget Studio â˜…â˜… Tsim Sha Tsui,122915370,2017-03-27,Hong Kong,NA,NA,1,FALSE,1,TRUE,FALSE,Yau Tsim Mong,NA,Hong Kong,22.29677,114.17124,Entire apartment,Entire place,2,NA,"[""Hair dryer"", ""Dryer"", ""Hot water"", ""Air conditioning"", ""Wifi"", ""Hangers"", ""Single level home"", ""Shampoo"", ""Refrigerator"", ""Essentials"", ""Elevator"", ""Indoor fireplace"", ""Microwave"", ""Dedicated workspace"", ""Iron"", ""Lockbox"", ""Extra pillows and blankets"", ""Bed linens"", ""Long term stays allowed"", ""Washer"", ""TV""]",707,7,1125,90,9,9,9,10,10,9,FALSE
23311376,â˜…â˜… Economy Budget Studio â˜…â˜… Perfect to Save money,118960757,2017-03-03,Hong Kong,NA,NA,1,FALSE,1,TRUE,FALSE,Yau Tsim Mong,NA,Hong Kong,22.30494,114.17268,Entire apartment,Entire place,2,NA,"[""Lockbox"", ""Indoor fireplace"", ""Shampoo"", ""Extra pillows and blankets"", ""Microwave"", ""Hair dryer"", ""Bed linens"", ""Long term stays allowed"", ""Dedicated workspace"", ""Hot water"", ""Refrigerator"", ""Iron"", ""TV"", ""Air conditioning"", ""Wifi"", ""Hangers"", ""Single level home"", ""Essentials"", ""Elevator""]",493,8,1125,93,9,9,10,10,10,9,TRUE
23533330,â˜…â˜… PREMIUM STUDIO â˜…â˜… Tsim Sha Tsui,133624849,2017-06-05,Hong Kong,NA,NA,1,FALSE,1,TRUE,FALSE,Yau Tsim Mong,NA,Hong Kong,22.29781,114.17298,Entire apartment,Entire place,2,NA,"[""Hair dryer"", ""Dryer"", ""Hot water"", ""Air conditioning"", ""Wifi"", ""Hangers"", ""Single level home"", ""Shampoo"", ""Fire extinguisher"", ""Refrigerator"", ""Essentials"", ""Elevator"", ""Indoor fireplace"", ""Dedicated workspace"", ""Iron"", ""Lockbox"", ""Extra pillows and blankets"", ""Bed linens"", ""Long term stays allowed"", ""Washer"", ""TV""]",693,7,1125,92,9,9,10,10,10,9,TRUE
29690868,"Premium Studio - modern, open and convenient",30326133,2015-03-31,"New Territories, Hong Kong",NA,NA,1,TRUE,1,TRUE,TRUE,Islands,NA,Hong Kong,22.29539,114.01408,Entire apartment,Entire place,4,NA,"[""Hair dryer"", ""Dryer"", ""Hot water"", ""Air conditioning"", ""Wifi"", ""Hangers"", ""Shampoo"", ""Refrigerator"", ""Kitchen"", ""Essentials"", ""Elevator"", ""Microwave"", ""Dedicated workspace"", ""Heating"", ""Iron"", ""Cooking basics"", ""Oven"", ""Lockbox"", ""Stove"", ""Coffee maker"", ""Long term stays allowed"", ""Washer"", ""TV"", ""Dishes and silverware""]",799,28,1125,100,10,10,10,10,10,10,TRUE
23152264,Modern bright & cozy studio in the heart of HK,35020157,2015-06-04,"Hong Kong, Hong Kong",NA,NA,1,FALSE,1,TRUE,TRUE,Central & Western,NA,Hong Kong,22.28483,114.14934,Entire apartment,Entire place,2,1,"[""Hair dryer"", ""Dryer"", ""Air conditioning"", ""Shampoo"", ""Wifi"", ""Hangers"", ""Kitchen"", ""Long term stays allowed"", ""Essentials"", ""Heating"", ""Washer"", ""Host greets you"", ""Luggage dropoff allowed"", ""Dedicated workspace"", ""Hot water""]",700,20,1125,97,10,10,10,10,10,9,TRUE
1702604,"fit 12 ppl,big family, cozy",4500928,2012-12-26,Hong Kong,NA,NA,NA,FALSE,1,TRUE,TRUE,Yau Tsim Mong,NA,Hong Kong,22.31562,114.16881,Entire apartment,Entire place,12,4,"[""Dryer"", ""Long term stays allowed"", ""Hot tub"", ""Washer"", ""TV"", ""Air conditioning"", ""Wifi"", ""Elevator""]",2257,1,1125,68,8,8,8,9,10,7,FALSE
34983426,"Cozy, Convenient 3BR Flat @Mong Kok!",263581756,2019-05-23,HK,NA,NA,NA,FALSE,1,TRUE,TRUE,Yau Tsim Mong,NA,Hong Kong,22.31563,114.16616,Entire apartment,Entire place,4,3,"[""Shampoo"", ""Hair dryer"", ""Long term stays allowed"", ""Dedicated workspace"", ""Washer"", ""TV"", ""Air conditioning"", ""Wifi"", ""Hangers"", ""Kitchen"", ""Essentials"", ""Elevator""]",10768,22,1125,60,8,8,8,6,10,8,TRUE
7887271,"Greenery Gardens, Pokfulam",41581627,2015-08-15,"Hong Kong Island, Hong Kong",NA,NA,NA,FALSE,1,TRUE,TRUE,Central & Western,NA,Hong Kong,22.27514,114.12793,Entire apartment,Entire place,5,3,"[""Hot water"", ""Air conditioning"", ""Smart lock"", ""Wifi"", ""Hangers"", ""Single level home"", ""Children\u2019s books and toys"", ""Free parking on premises"", ""Patio or balcony"", ""Refrigerator"", ""Kitchen"", ""Essentials"", ""Elevator"", ""Gym"", ""Pool"", ""Dishwasher"", ""Microwave"", ""Dedicated workspace"", ""Iron"", ""Cooking basics"", ""Oven"", ""Stove"", ""Bed linens"", ""Coffee maker"", ""Long term stays allowed"", ""Washer"", ""TV"", ""Cable TV"", ""Dishes and silverware""]",1500,4,1125,100,9,10,10,10,9,10,FALSE
23842023,"Sunny, modern flat in the best area of Hong Kong",6694897,2013-06-02,Hong Kong,NA,NA,NA,FALSE,1,TRUE,TRUE,Central & Western,NA,Hong Kong,22.28283,114.1491,Entire apartment,Entire place,4,3,"[""Hair dryer"", ""Air conditioning"", ""Wifi"", ""Hangers"", ""High chair"", ""Children\u2019s books and toys"", ""Patio or balcony"", ""Refrigerator"", ""Crib"", ""Kitchen"", ""Essentials"", ""Elevator"", ""Gym"", ""Pool"", ""Microwave"", ""Dedicated workspace"", ""Heating"", ""Iron"", ""Cooking basics"", ""Changing table"", ""Stove"", ""Coffee maker"", ""Bathtub"", ""Long term stays allowed"", ""Children\u2019s dinnerware"", ""Washer"", ""TV"", ""Babysitter recommendations""]",1199,6,1125,95,9,10,10,10,10,10,FALSE
634726,"BIG 3BR APT IN WANCHAI, HEART OF HK",3161756,2012-08-05,Hong Kong,NA,NA,NA,FALSE,1,TRUE,FALSE,Wan Chai,NA,Hong Kong,22.27811,114.17354,Entire apartment,Entire place,10,3,"[""Long term stays allowed"", ""Washer"", ""TV"", ""Air conditioning"", ""Wifi"", ""Kitchen"", ""Elevator""]",1000,180,1125,95,10,9,10,10,10,9,FALSE
15437631,Cozy 3BD in the heart of Kowloon,98992897,2016-10-09,HK,NA,NA,NA,FALSE,1,TRUE,FALSE,Yau Tsim Mong,NA,Hong Kong,22.32137,114.1649,Entire apartment,Entire place,5,3,"[""Shampoo"", ""Hair dryer"", ""Long term stays allowed"", ""Air conditioning"", ""TV"", ""Wifi"", ""Kitchen"", ""Essentials""]",917,30,1125,96,10,9,10,10,10,10,FALSE
21480052,é¦™æ¸¯ç£ä»”åœ°éµå£ä½å®…,130372560,2017-05-15,China,NA,NA,NA,FALSE,1,TRUE,FALSE,Wan Chai,NA,Hong Kong,22.27443,114.1731,Entire apartment,Entire place,3,3,"[""Pool"", ""Long term stays allowed"", ""Washer"", ""Air conditioning"", ""Kitchen"", ""Smoke alarm"", ""Elevator""]",1800,30,1125,NA,NA,NA,NA,NA,NA,NA,TRUE
36256230,Home sweet home,272688911,2019-07-01,HK,NA,NA,NA,FALSE,1,TRUE,FALSE,Yau Tsim Mong,NA,Hong Kong,22.31822,114.16838,Entire apartment,Entire place,6,3,"[""Shampoo"", ""Hair dryer"", ""Dryer"", ""Long term stays allowed"", ""Private entrance"", ""Hot water"", ""Heating"", ""Washer"", ""TV"", ""Air conditioning"", ""Wifi"", ""Hangers"", ""Kitchen"", ""Essentials"", ""Elevator""]",5000,2,1125,NA,NA,NA,NA,NA,NA,NA,TRUE
37301918,"Art-filled experience in KTown, perfect for 2px",280821031,2019-07-31,HK,NA,NA,NA,FALSE,1,TRUE,FALSE,Central & Western,NA,Hong Kong,22.284,114.13101,Entire apartment,Entire place,3,NA,"[""Stove"", ""Long term stays allowed"", ""Refrigerator"", ""Kitchen"", ""Essentials""]",10768,22,1125,NA,NA,NA,NA,NA,NA,NA,TRUE
25790587,å°šåœœå…¬å¯“,193822675,2018-06-06,HK,NA,NA,NA,FALSE,1,TRUE,FALSE,Tsuen Wan,NA,Hong Kong,22.39589,114.11059,Entire apartment,Entire place,1,NA,"[""Long term stays allowed"", ""Dedicated workspace"", ""Private entrance"", ""Washer"", ""TV"", ""Air conditioning"", ""First aid kit"", ""Hangers"", ""Wifi"", ""Kitchen"", ""Essentials"", ""Free parking on premises""]",4652,1,1125,NA,NA,NA,NA,NA,NA,NA,FALSE
25814703,ç›¸çº¦å…¬å¯“,193990297,2018-06-06,HK,NA,NA,NA,FALSE,1,TRUE,FALSE,Tsuen Wan,NA,Hong Kong,22.39668,114.11006,Entire apartment,Entire place,1,NA,"[""Long term stays allowed"", ""Dedicated workspace"", ""Private entrance"", ""Washer"", ""TV"", ""Air conditioning"", ""First aid kit"", ""Hangers"", ""Wifi"", ""Kitchen"", ""Essentials"", ""Free parking on premises""]",4652,1,1125,NA,NA,NA,NA,NA,NA,NA,FALSE
25842962,åŽç¾Žå…¬å¯“,194175424,2018-06-07,HK,NA,NA,NA,FALSE,1,TRUE,FALSE,Tsuen Wan,NA,Hong Kong,22.39706,114.1097,Entire apartment,Entire place,1,NA,"[""Washer"", ""Hangers"", ""Wifi"", ""Essentials"", ""TV"", ""Kitchen"", ""Hair dryer"", ""Air conditioning"", ""Free parking on premises"", ""Long term stays allowed"", ""Dedicated workspace"", ""First aid kit"", ""Private entrance""]",4652,1,1125,NA,NA,NA,NA,NA,NA,NA,FALSE
25919364,JIUHå…¬å¯“,194808825,2018-06-10,HK,NA,NA,NA,FALSE,1,TRUE,FALSE,Tsuen Wan,NA,Hong Kong,22.39603,114.10879,Entire apartment,Entire place,1,NA,"[""Long term stays allowed"", ""Dedicated workspace"", ""Private entrance"", ""Washer"", ""TV"", ""Air conditioning"", ""First aid kit"", ""Hangers"", ""Wifi"", ""Kitchen"", ""Essentials"", ""Free parking on premises""]",4652,1,1125,NA,NA,NA,NA,NA,NA,NA,FALSE
25950368,èƒœåŽå…¬å¯“,195063355,2018-06-11,HK,NA,NA,NA,FALSE,1,TRUE,FALSE,Tsuen Wan,NA,Hong Kong,22.39701,114.10887,Entire apartment,Entire place,1,NA,"[""Long term stays allowed"", ""Dedicated workspace"", ""Private entrance"", ""Washer"", ""TV"", ""Air conditioning"", ""First aid kit"", ""Hangers"", ""Wifi"", ""Kitchen"", ""Essentials"", ""Free parking on premises""]",4652,1,1125,NA,NA,NA,NA,NA,NA,NA,FALSE
30916335,Cozy&Bright studio in Sai Ying Pun,189635318,2018-05-14,"Madrid, Community of Madrid, Spain",NA,NA,NA,FALSE,1,TRUE,FALSE,Central & Western,NA,Hong Kong,22.28685,114.13903,Entire apartment,Entire place,1,NA,"[""Shampoo"", ""Long term stays allowed"", ""Hot water"", ""Iron"", ""TV"", ""Air conditioning"", ""Wifi"", ""Hangers"", ""Smoke alarm"", ""Kitchen"", ""Essentials""]",800,5,1125,NA,NA,NA,NA,NA,NA,NA,FALSE
